Instance  		Objective		Scheduling														Heuristic		Duration (in s)
instance13 		39471			ratio value/totalWeight descending                  			Static 			0.000768
instance13 		38886			ratio value/totalWeight descending                  			Dynamic			0.000766
instance13 		37757			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001588
instance13 		37613			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001992
instance13 		37474			descending                                          			Static 			0.000376
instance13 		37474			descending                                          			Dynamic			0.000410
instance13 		33822			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001862
instance13 		33607			random                                              			Dynamic			0.000560
instance13 		33607			random                                              			Static 			0.000618
instance13 		32361			crescent                                            			Static 			0.000480
instance13 		31567			crescent                                            			Dynamic			0.000410
instance13 		31396			ratio value/weightOfMostFullDimension descending    			Static 			0.001988
instance13 		30197			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001754
instance13 		29708			ratio value/weightOfMostCriticalDimension descending			Static 			0.001560
instance13 		29529			ratio value/weightOfMostFullDimension crescent      			Static 			0.001778
instance13 		28055			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001464
instance13 		26233			ratio value/totalWeight crescent                    			Static 			0.000748
instance13 		24735			ratio value/totalWeight crescent                    			Dynamic			0.000738
instance14 		41106			ratio value/totalWeight descending                  			Static 			0.000820
instance14 		41106			ratio value/totalWeight descending                  			Dynamic			0.001010
instance14 		39721			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001894
instance14 		39721			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001830
instance14 		38227			descending                                          			Static 			0.000414
instance14 		38227			descending                                          			Dynamic			0.000406
instance14 		34451			random                                              			Dynamic			0.000454
instance14 		33261			random                                              			Static 			0.000470
instance14 		32739			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002190
instance14 		32528			crescent                                            			Static 			0.000430
instance14 		31309			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.002186
instance14 		30385			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002264
instance14 		29616			ratio value/weightOfMostFullDimension crescent      			Static 			0.002218
instance14 		29580			crescent                                            			Dynamic			0.000398
instance14 		29447			ratio value/weightOfMostFullDimension descending    			Static 			0.002510
instance14 		29382			ratio value/weightOfMostCriticalDimension descending			Static 			0.002002
instance14 		28894			ratio value/totalWeight crescent                    			Dynamic			0.000934
instance14 		28749			ratio value/totalWeight crescent                    			Static 			0.000862
instance15 		39319			ratio value/totalWeight descending                  			Static 			0.001034
instance15 		38870			ratio value/totalWeight descending                  			Dynamic			0.001158
instance15 		37223			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001672
instance15 		36863			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001672
instance15 		32673			random                                              			Dynamic			0.000490
instance15 		31990			random                                              			Static 			0.000528
instance15 		30802			descending                                          			Static 			0.000398
instance15 		30802			descending                                          			Dynamic			0.000362
instance15 		30677			crescent                                            			Static 			0.000464
instance15 		30338			ratio value/weightOfMostFullDimension crescent      			Static 			0.002182
instance15 		30196			crescent                                            			Dynamic			0.000520
instance15 		30125			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002138
instance15 		29772			ratio value/weightOfMostFullDimension descending    			Static 			0.002122
instance15 		29772			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001842
instance15 		29168			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001702
