Instance	Objective	Scheduling	Heuristic	Duration (in s)
instance10	13152	ratio value/weightOfMostCriticalDimension descending	Static	0.001494
instance10	12946	ratio value/totalWeight crescent	Static	0.000862
instance11	41331	ratio value/totalWeight descending	Static	0.000694
instance11	41331	ratio value/totalWeight descending	Dynamic	0.000772
instance11	39979	ratio value/weightOfMostCriticalDimension crescent	Static	0.001340
instance11	39979	ratio value/weightOfMostFullDimension crescent	Static	0.002308
instance11	39535	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001396
instance11	39535	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002400
instance11	37822	descending	Static	0.000410
instance11	37822	descending	Dynamic	0.000334
instance11	34331	random	Dynamic	0.000446
instance11	33953	random	Static	0.000464
instance11	33510	crescent	Dynamic	0.000406
instance11	31373	crescent	Static	0.000550
instance11	30306	ratio value/weightOfMostFullDimension descending	Static	0.002044
instance11	30306	ratio value/weightOfMostFullDimension descending	Dynamic	0.002180
instance11	30306	ratio value/weightOfMostCriticalDimension descending	Static	0.001912
instance11	30306	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001332
instance11	30115	ratio value/totalWeight crescent	Dynamic	0.000844
instance11	29594	ratio value/totalWeight crescent	Static	0.000586
instance12	40362	ratio value/totalWeight descending	Dynamic	0.000682
instance12	39967	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001262
instance12	39967	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002306
instance12	38754	ratio value/totalWeight descending	Static	0.000688
instance12	38164	ratio value/weightOfMostFullDimension crescent	Static	0.002298
instance12	38164	ratio value/weightOfMostCriticalDimension crescent	Static	0.001666
instance12	34569	descending	Static	0.000348
instance12	34569	descending	Dynamic	0.000392
instance12	33280	random	Dynamic	0.000458
instance12	32588	random	Static	0.000466
instance12	28714	ratio value/totalWeight crescent	Dynamic	0.000560
instance12	28597	ratio value/weightOfMostFullDimension descending	Static	0.001916
instance12	28597	ratio value/weightOfMostFullDimension descending	Dynamic	0.002580
instance12	28597	ratio value/weightOfMostCriticalDimension descending	Static	0.001712
instance12	28597	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001646
instance12	28506	ratio value/totalWeight crescent	Static	0.000710
instance12	27800	crescent	Static	0.000400
instance12	27326	crescent	Dynamic	0.000388
instance13	39471	ratio value/totalWeight descending	Static	0.000986
instance13	38886	ratio value/totalWeight descending	Dynamic	0.000938
instance13	37757	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001788
instance13	37757	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002164
instance13	37613	ratio value/weightOfMostFullDimension crescent	Static	0.002264
instance13	37613	ratio value/weightOfMostCriticalDimension crescent	Static	0.001922
instance13	37474	descending	Static	0.000492
instance13	37474	descending	Dynamic	0.000504
instance13	34390	random	Dynamic	0.000618
instance13	34376	random	Static	0.000532
instance13	32361	crescent	Static	0.000460
instance13	31567	crescent	Dynamic	0.000508
instance13	29708	ratio value/weightOfMostCriticalDimension descending	Static	0.001678
instance13	29708	ratio value/weightOfMostFullDimension descending	Static	0.002160
instance13	28055	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001734
instance13	28055	ratio value/weightOfMostFullDimension descending	Dynamic	0.002560
instance13	26233	ratio value/totalWeight crescent	Static	0.000996
instance13	24735	ratio value/totalWeight crescent	Dynamic	0.000958
instance14	41106	ratio value/totalWeight descending	Static	0.000566
instance14	41106	ratio value/totalWeight descending	Dynamic	0.000772
instance14	39721	ratio value/weightOfMostCriticalDimension crescent	Static	0.001910
instance14	39721	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.002036
instance14	39721	ratio value/weightOfMostFullDimension crescent	Static	0.002846
instance14	39721	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002832
instance14	38227	descending	Static	0.000264
instance14	38227	descending	Dynamic	0.000486
instance14	34551	random	Static	0.000332
instance14	34551	random	Dynamic	0.000326
instance14	32528	crescent	Static	0.000466
