Instance  		Objective		Duration (in s)
instance15 		29168			0.001804
instance15 		29168			0.002522
instance15 		28412			0.000910
instance15 		27906			0.001064
instance15 		27607			0.002706
instance15 		27607			0.002408
instance16 		40410			0.000978
instance16 		40320			0.001056
instance16 		38147			0.000394
instance16 		38147			0.000494
instance16 		37007			0.001868
instance16 		37007			0.002572
instance16 		36408			0.001824
instance16 		36408			0.002482
instance16 		32018			0.000598
instance16 		31515			0.000592
instance16 		29340			0.000712
instance16 		29020			0.001980
instance16 		29020			0.002750
instance16 		28914			0.000946
instance16 		28583			0.001978
instance16 		28583			0.002476
instance16 		27016			0.000464
instance16 		26950			0.000992
instance17 		38601			0.000972
instance17 		38004			0.000828
instance17 		37588			0.001852
instance17 		37588			0.002398
instance17 		37505			0.002344
instance17 		37505			0.002684
instance17 		36831			0.000360
instance17 		36831			0.000452
instance17 		30315			0.000500
instance17 		30071			0.000500
instance17 		29109			0.000502
instance17 		27468			0.001134
instance17 		27312			0.002022
instance17 		27312			0.002790
instance17 		27163			0.001020
instance17 		26529			0.000402
instance17 		25434			0.001854
instance17 		25434			0.002500
instance18 		42909			0.000898
instance18 		40471			0.002206
instance18 		40471			0.002614
instance18 		38199			0.000838
instance18 		37450			0.001974
instance18 		37450			0.002858
instance18 		37371			0.000650
instance18 		37362			0.000608
instance18 		37286			0.000458
instance18 		37286			0.000474
instance18 		32901			0.000616
instance18 		32752			0.000578
instance18 		30577			0.000976
instance18 		30153			0.002012
instance18 		30153			0.003202
instance18 		29766			0.003078
instance18 		29766			0.002226
instance18 		29498			0.001036
instance19 		40392			0.000992
instance19 		39700			0.001364
instance19 		38494			0.000368
instance19 		38494			0.000440
instance19 		38045			0.001734
instance19 		38045			0.002678
instance19 		36955			0.001768
instance19 		36955			0.002778
instance19 		35296			0.000558
instance19 		35001			0.000484
instance19 		34035			0.000476
instance19 		33440			0.000550
instance19 		31078			0.001928
instance19 		31078			0.003098
instance19 		30651			0.002292
instance19 		30651			0.003068
instance19 		28728			0.000944
instance19 		28199			0.000930
instance20 		42749			0.001152
instance20 		42040			0.001912
instance20 		42040			0.002746
instance20 		42036			0.000964
instance20 		39851			0.001782
instance20 		39851			0.002588
instance20 		39560			0.000406
instance20 		39560			0.000424
instance20 		36280			0.000690
instance20 		35772			0.000624
