Instance	Objective	Scheduling	Heuristic	Duration (in s)
instance14	31309	ratio value/weightOfMostFullDimension descending	Dynamic	0.003078
instance14	29580	crescent	Dynamic	0.000492
instance14	29382	ratio value/weightOfMostFullDimension descending	Static 	0.002812
instance14	29382	ratio value/weightOfMostCriticalDimension descending	Static 	0.001780
instance14	28894	ratio value/totalWeight crescent	Dynamic	0.000886
instance14	28749	ratio value/totalWeight crescent	Static 	0.000876
instance15	39319	ratio value/totalWeight descending	Static 	0.001044
instance15	38870	ratio value/totalWeight descending	Dynamic	0.000922
instance15	37223	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001766
instance15	37223	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002514
instance15	36863	ratio value/weightOfMostFullDimension crescent	Static 	0.002340
instance15	36863	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001614
instance15	35352	random	Dynamic	0.000584
instance15	34557	random	Static 	0.000582
instance15	30802	descending	Static 	0.000376
instance15	30802	descending	Dynamic	0.000398
instance15	30677	crescent	Static 	0.000414
instance15	30196	crescent	Dynamic	0.000412
instance15	29168	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001682
instance15	29168	ratio value/weightOfMostFullDimension descending	Dynamic	0.002522
instance15	28412	ratio value/totalWeight crescent	Static 	0.000844
instance15	27906	ratio value/totalWeight crescent	Dynamic	0.000832
instance15	27607	ratio value/weightOfMostFullDimension descending	Static 	0.002832
instance15	27607	ratio value/weightOfMostCriticalDimension descending	Static 	0.001650
instance16	40410	ratio value/totalWeight descending	Dynamic	0.000592
instance16	40320	ratio value/totalWeight descending	Static 	0.000554
instance16	38147	descending	Static 	0.000240
instance16	38147	descending	Dynamic	0.000236
instance16	37007	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001320
instance16	37007	ratio value/weightOfMostFullDimension crescent	Static 	0.001896
instance16	36408	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001202
instance16	36408	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002078
instance16	33804	random	Dynamic	0.000434
instance16	33623	random	Static 	0.000536
instance16	29340	crescent	Dynamic	0.000256
instance16	29020	ratio value/weightOfMostCriticalDimension descending	Static 	0.001280
instance16	29020	ratio value/weightOfMostFullDimension descending	Static 	0.001908
instance16	28914	ratio value/totalWeight crescent	Dynamic	0.000550
instance16	28583	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001140
instance16	28583	ratio value/weightOfMostFullDimension descending	Dynamic	0.002092
instance16	27016	crescent	Static 	0.000286
instance16	26950	ratio value/totalWeight crescent	Static 	0.000574
instance17	38601	ratio value/totalWeight descending	Dynamic	0.000536
instance17	38004	ratio value/totalWeight descending	Static 	0.000546
instance17	37588	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001618
instance17	37588	ratio value/weightOfMostFullDimension crescent	Static 	0.002162
instance17	37505	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001400
instance17	37505	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002170
instance17	36831	descending	Static 	0.000284
instance17	36831	descending	Dynamic	0.000272
instance17	31717	random	Dynamic	0.000430
instance17	31437	random	Static 	0.000426
instance17	29109	crescent	Static 	0.000250
instance17	27468	ratio value/totalWeight crescent	Dynamic	0.000570
instance17	27312	ratio value/weightOfMostCriticalDimension descending	Static 	0.001190
instance17	27312	ratio value/weightOfMostFullDimension descending	Static 	0.001804
instance17	27163	ratio value/totalWeight crescent	Static 	0.000546
instance17	26529	crescent	Dynamic	0.000248
instance17	25434	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001310
instance17	25434	ratio value/weightOfMostFullDimension descending	Dynamic	0.001842
instance18	42909	ratio value/totalWeight descending	Dynamic	0.000680
instance18	40471	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001466
instance18	40471	ratio value/weightOfMostFullDimension crescent	Static 	0.002336
instance18	38199	ratio value/totalWeight descending	Static 	0.000606
instance18	37450	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001376
instance18	37450	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002052
instance18	37286	descending	Static 	0.000286
instance18	37286	descending	Dynamic	0.000306
instance18	35248	random	Static 	0.000488
instance18	34417	random	Dynamic	0.000454
instance18	32901	crescent	Static 	0.000364
instance18	32752	crescent	Dynamic	0.000354
instance18	30577	ratio value/totalWeight crescent	Static 	0.000674
instance18	30153	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001368
instance18	30153	ratio value/weightOfMostFullDimension descending	Dynamic	0.002148
instance18	29766	ratio value/weightOfMostFullDimension descending	Static 	0.002204
instance18	29766	ratio value/weightOfMostCriticalDimension descending	Static 	0.001334
instance18	29498	ratio value/totalWeight crescent	Dynamic	0.000628
instance19	40392	ratio value/totalWeight descending	Static 	0.000532
instance19	39700	ratio value/totalWeight descending	Dynamic	0.000616
instance19	38494	descending	Static 	0.000286
instance19	38494	descending	Dynamic	0.000382
instance19	38045	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001372
instance19	38045	ratio value/weightOfMostFullDimension crescent	Static 	0.001720
instance19	36955	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001296
instance19	36955	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002072
instance19	36562	random	Dynamic	0.000392
instance19	35956	random	Static 	0.000450
instance19	34035	crescent	Static 	0.000268
instance19	33440	crescent	Dynamic	0.000276
instance19	31078	ratio value/weightOfMostCriticalDimension descending	Static 	0.001464
instance19	31078	ratio value/weightOfMostFullDimension descending	Static 	0.001754
instance19	30651	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001418
instance19	30651	ratio value/weightOfMostFullDimension descending	Dynamic	0.001846
instance19	28728	ratio value/totalWeight crescent	Dynamic	0.000698
instance19	28199	ratio value/totalWeight crescent	Static 	0.000632
instance20	42749	ratio value/totalWeight descending	Static 	0.000658
instance20	42040	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001278
instance20	42040	ratio value/weightOfMostFullDimension crescent	Static 	0.001692
instance20	42036	ratio value/totalWeight descending	Dynamic	0.000706
instance20	39851	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001170
instance20	39851	ratio value/weightOfMostFullDimension crescent	Dynamic	0.001708
instance20	39560	descending	Static 	0.000346
instance20	39560	descending	Dynamic	0.000340
instance20	32728	random	Dynamic	0.000506
instance20	31874	crescent	Static 	0.000324
instance20	31352	random	Static 	0.000482
instance20	31168	crescent	Dynamic	0.000250
instance20	30510	ratio value/weightOfMostCriticalDimension descending	Static 	0.001204
instance20	30510	ratio value/weightOfMostFullDimension descending	Static 	0.002062
instance20	30247	ratio value/totalWeight crescent	Static 	0.000642
instance20	28976	ratio value/totalWeight crescent	Dynamic	0.000602
instance20	28296	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001206
instance20	28296	ratio value/weightOfMostFullDimension descending	Dynamic	0.001786
instance21	59504	ratio value/totalWeight descending	Dynamic	0.000728
instance21	57171	ratio value/totalWeight descending	Static 	0.000784
instance21	56343	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001234
instance21	56343	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001230
instance21	56343	ratio value/weightOfMostFullDimension crescent	Static 	0.002042
instance21	56343	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002216
instance21	53785	descending	Static 	0.000334
instance21	53785	descending	Dynamic	0.000258
instance21	53216	random	Static 	0.000436
instance21	51648	random	Dynamic	0.000514
instance21	49191	ratio value/weightOfMostCriticalDimension descending	Static 	0.001174
instance21	49191	ratio value/weightOfMostFullDimension descending	Static 	0.001958
instance21	49038	crescent	Dynamic	0.000282
instance21	48182	crescent	Static 	0.000272
instance21	47619	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001332
instance21	47619	ratio value/weightOfMostFullDimension descending	Dynamic	0.001830
instance21	46318	ratio value/totalWeight crescent	Static 	0.000666
instance21	45181	ratio value/totalWeight crescent	Dynamic	0.000626
instance22	59384	ratio value/totalWeight descending	Dynamic	0.000670
instance22	58892	ratio value/totalWeight descending	Static 	0.000658
instance22	57126	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001306
instance22	57126	ratio value/weightOfMostFullDimension crescent	Static 	0.001706
instance22	56849	random	Dynamic	0.000452
instance22	56775	descending	Static 	0.000300
instance22	56775	descending	Dynamic	0.000290
instance22	54605	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001182
instance22	54605	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002022
instance22	54391	random	Static 	0.000456
instance22	54256	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001260
instance22	54256	ratio value/weightOfMostFullDimension descending	Dynamic	0.001712
instance22	53449	ratio value/weightOfMostFullDimension descending	Static 	0.001726
instance22	53449	ratio value/weightOfMostCriticalDimension descending	Static 	0.001468
instance22	51942	crescent	Dynamic	0.000292
instance22	49428	crescent	Static 	0.000288
instance22	49049	ratio value/totalWeight crescent	Dynamic	0.000650
instance22	47803	ratio value/totalWeight crescent	Static 	0.000658
instance23	58617	ratio value/totalWeight descending	Dynamic	0.000560
instance23	57911	ratio value/totalWeight descending	Static 	0.000574
instance23	57238	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001494
instance23	57238	ratio value/weightOfMostFullDimension crescent	Dynamic	0.001716
instance23	56705	ratio value/weightOfMostFullDimension crescent	Static 	0.001762
instance23	56705	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001406
instance23	53813	descending	Static 	0.000356
instance23	53813	descending	Dynamic	0.000256
instance23	51664	crescent	Dynamic	0.000312
instance23	50498	random	Static 	0.000520
instance23	50412	crescent	Static 	0.000284
instance23	50282	ratio value/weightOfMostCriticalDimension descending	Static 	0.001266
instance23	50282	ratio value/weightOfMostFullDimension descending	Static 	0.002076
instance23	49686	random	Dynamic	0.000416
instance23	47678	ratio value/totalWeight crescent	Dynamic	0.000562
instance23	46701	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001510
instance23	46701	ratio value/weightOfMostFullDimension descending	Dynamic	0.001834
instance23	45243	ratio value/totalWeight crescent	Static 	0.000556
instance24	59356	ratio value/totalWeight descending	Dynamic	0.000572
instance24	59032	ratio value/totalWeight descending	Static 	0.000564
instance24	57491	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001534
instance24	57491	ratio value/weightOfMostFullDimension crescent	Static 	0.001812
instance24	57436	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001568
instance24	57436	ratio value/weightOfMostFullDimension crescent	Dynamic	0.001828
instance24	53859	descending	Static 	0.000270
instance24	53859	descending	Dynamic	0.000294
instance24	52488	random	Dynamic	0.000446
instance24	52041	random	Static 	0.000428
instance24	51815	ratio value/weightOfMostCriticalDimension descending	Static 	0.001294
instance24	51815	ratio value/weightOfMostFullDimension descending	Static 	0.001780
instance24	51031	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001412
instance24	51031	ratio value/weightOfMostFullDimension descending	Dynamic	0.002068
instance24	50936	crescent	Static 	0.000320
instance24	50936	crescent	Dynamic	0.000304
instance24	48869	ratio value/totalWeight crescent	Dynamic	0.000716
instance24	46164	ratio value/totalWeight crescent	Static 	0.000670
instance25	60505	ratio value/totalWeight descending	Dynamic	0.000906
instance25	59858	ratio value/totalWeight descending	Static 	0.000606
instance25	57620	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001236
instance25	57620	ratio value/weightOfMostFullDimension crescent	Dynamic	0.001798
instance25	56859	ratio value/weightOfMostFullDimension crescent	Static 	0.001958
instance25	56859	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001214
instance25	55897	random	Static 	0.000428
instance25	55002	random	Dynamic	0.000426
instance25	53795	descending	Static 	0.000270
instance25	53795	descending	Dynamic	0.000264
instance25	52665	crescent	Static 	0.000284
instance25	52099	crescent	Dynamic	0.000284
instance25	51158	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001216
instance25	51158	ratio value/weightOfMostFullDimension descending	Dynamic	0.002000
instance25	50535	ratio value/weightOfMostFullDimension descending	Static 	0.002174
instance25	50535	ratio value/weightOfMostCriticalDimension descending	Static 	0.001246
instance25	46447	ratio value/totalWeight crescent	Static 	0.000618
instance25	46447	ratio value/totalWeight crescent	Dynamic	0.000640
instance26	57139	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001254
instance26	57139	ratio value/weightOfMostFullDimension crescent	Dynamic	0.001814
instance26	56862	ratio value/weightOfMostFullDimension crescent	Static 	0.001760
instance26	56862	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001360
instance26	56229	ratio value/totalWeight descending	Dynamic	0.000720
instance26	56124	ratio value/totalWeight descending	Static 	0.000692
instance26	55040	descending	Static 	0.000348
instance26	55040	descending	Dynamic	0.000308
instance26	52544	random	Dynamic	0.000566
instance26	51549	crescent	Static 	0.000290
instance26	51549	crescent	Dynamic	0.000408
instance26	51535	random	Static 	0.000426
