Instance  		Objective		Scheduling														Heuristic		Duration (in s)
instance20 		39851			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001690
instance20 		39851			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002486
instance20 		39560			descending                                          			Static 			0.000264
instance20 		39560			descending                                          			Dynamic			0.000250
instance20 		35066			random                                              			Static 			0.000342
instance20 		34861			random                                              			Dynamic			0.000402
instance20 		31874			crescent                                            			Static 			0.000264
instance20 		31168			crescent                                            			Dynamic			0.000340
instance20 		30510			ratio value/weightOfMostCriticalDimension descending			Static 			0.001538
instance20 		30510			ratio value/weightOfMostFullDimension descending    			Static 			0.002376
instance20 		30247			ratio value/totalWeight crescent                    			Static 			0.000518
instance20 		28976			ratio value/totalWeight crescent                    			Dynamic			0.000596
instance20 		28296			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001656
instance20 		28296			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002204
instance21 		59504			ratio value/totalWeight descending                  			Dynamic			0.000944
instance21 		57171			ratio value/totalWeight descending                  			Static 			0.000836
instance21 		56343			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001276
instance21 		56343			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001612
instance21 		56343			ratio value/weightOfMostFullDimension crescent      			Static 			0.002086
instance21 		56343			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002318
instance21 		53785			descending                                          			Static 			0.000432
instance21 		53785			descending                                          			Dynamic			0.000318
instance21 		51704			random                                              			Static 			0.000658
instance21 		51140			random                                              			Dynamic			0.000580
instance21 		49191			ratio value/weightOfMostCriticalDimension descending			Static 			0.001472
instance21 		49191			ratio value/weightOfMostFullDimension descending    			Static 			0.002540
instance21 		49038			crescent                                            			Dynamic			0.000340
instance21 		48182			crescent                                            			Static 			0.000354
instance21 		47619			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001340
instance21 		47619			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002470
instance21 		46318			ratio value/totalWeight crescent                    			Static 			0.000808
instance21 		45181			ratio value/totalWeight crescent                    			Dynamic			0.000706
instance22 		59384			ratio value/totalWeight descending                  			Dynamic			0.000964
instance22 		58892			ratio value/totalWeight descending                  			Static 			0.000946
instance22 		57126			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001754
instance22 		57126			ratio value/weightOfMostFullDimension crescent      			Static 			0.002024
instance22 		56775			descending                                          			Static 			0.000512
